Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
A contrario,1660-7880,,Editions Antipodes,Switzerland,Core Coverage - Actively Indexed
"Abacus: journal of accounting, finance and business studies",0001-3072,1467-6281,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Academic review of economics and administrative sciences,1308-4208,1308-4216,"Ni&gde Universitesi, Iktisadi ve Idari Bilimler Fakultesi",Turkey,Core Coverage - Actively Indexed
Academy of Management journal,0001-4273,,Academy of Management,U.S.A.,Core Coverage - Actively Indexed
Academy of Management perspectives,1558-9080,,Academy of Management,U.S.A.,Core Coverage - Actively Indexed
Academy of Management review,0363-7425,,Academy of Management,U.S.A.,Core Coverage - Actively Indexed
Academy of Marketing Science review,1526-1794,,Academy of Marketing Science,U.S.A.,Core Coverage - Actively Indexed
Acadiensis: journal of the history of the Atlantic region,0044-5851,,University of New Brunswick,Canada,Core Coverage - Actively Indexed
Accounting and business research,0001-4788,2159-4260,"Taylor & Francis Ltd,",United Kingdom,Core Coverage - Actively Indexed
Accounting history review,0958-5206,2155-286X,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
Accounting horizons,0888-7993,,American Accounting Association,U.S.A.,Core Coverage - Actively Indexed
Accounting review,0001-4826,,American Accounting Association,U.S.A.,Core Coverage - Actively Indexed
"Accounting, auditing and accountability journal",0951-3574,,Emerald Group Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
"Accounting, organizations and society",0361-3682,,Elsevier,United Kingdom,Core Coverage - Actively Indexed
ACME: an international E-journal for critical geographies,1492-9732,,ACME journal,Canada,Core Coverage - Actively Indexed
Acta Asiatica Varsoviensia,0860-6102,,Wydawnictwo Naukowe ASKON Sp. z.o.o.,Poland,Core Coverage - Actively Indexed
Acta Borealia,0800-3831,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Acta ethnographica hungarica,1216-9803,,Akademiai Kiado,Hungary,Core Coverage - Actively Indexed
Acta geographica,0001-5687,,Societe de geographie,France,Core Coverage - Actively Indexed
Acta Histriae,1318-0185,,Univerza na Primorskem,Slovenia,Core Coverage - Actively Indexed
Acta juridica hungarica,1216-2574,,Akademiai Kiado,Hungary,Core Coverage - Actively Indexed
Acta oeconomica,0001-6373,,Akademiai Kiado,Hungary,Core Coverage - Actively Indexed
Acta politica,0001-6810,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
Acta sociologica [Norway],0001-6993,,Sage Publications Ltd.,Norway,Core Coverage - Actively Indexed
Acta universitatis danubius administratio,2068-5459,,Danubius University of Galati,Romania,Core Coverage - Actively Indexed
Acta universitatis danubius. Juridica,1844-8062,2065-3891,Danubius University Press,Romania,Core Coverage - Actively Indexed
Acta Universitatis Danubius. OEconomica,2067-340X,,Danubius University of Galati,Romania,Core Coverage - Actively Indexed
Actes de la recherche en sciences sociales,0335-5322,,"Editions du Seuil, 27 rue Jacob, 75006 Paris, France",France,Selective Coverage - Actively Indexed
Action research,1476-7503,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Actualite economique,0001-771X,,Ecole des Hautes Etudes Commerciales,Canada,Core Coverage - Actively Indexed
Actuel Marx,0994-4524,,Presses Universitaires de France,France,Core Coverage - Actively Indexed
Addiction,0965-2140,1360-0443,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Administration [Dublin],0001-8325,,Institute of Public Administration of Ireland,Ireland,Core Coverage - Actively Indexed
Administration and society,0095-3997,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Administrative science quarterly,0001-8392,,"Sage Publications, Inc.",U.S.A.,Core Coverage - Actively Indexed
Africa [Rome],0001-9747,,IsIAO (Istituto Italiano per l'Africa e l'Oriente),Italy,Core Coverage - Actively Indexed
Africa development/Afrique et developpement,0850-3907,,Council for the Development of Social Science Research in Africa / Conseil pour le developpement de la recherche en sciences sociales en Afrique,Senegal,Core Coverage - Actively Indexed
