JOURNAL TITLE                                      (Previous title if applicable),Open Access ,ISSN (Print),ISSN (Online),FREQUENCY,EDITOR'S DETAILS                                                    (when available),PUBLISHER'S DETAILS,DATE OF LAST REVIEW OR ACCREDITATION,International Accreditation                         (if applicable)                                 USE INTERNTIONAL LIST WHEN REPORTING TO DHET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Academica,Yes                                                              URL: http://www.journals.co.za/ej/ejour_classic.html,0587-2405,,Quarterly,"Prof D J van den Berg (UFS)                                        P.O.Box 339                                                      Bloemfontein, 9301                                                       Fax: 051 401 2315","PUBLISHER ADDRESS 
Sun Media Bloemfontein 
55 Brill St 
Westdene 
Postnet Suite 214 
Private Bag X01 
Brandhof 9324 
Tel : +27-(0)51-430-0459 
Fax : 086-545-4491 
E-mail : sunmedia@sunbloem.co.za
 


",Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Classica,URL: http://journals.sabinet.co.za/ej/ejour_acom.html,0065-1141,,Annually,"Prof. D. Wardle, University of Cape Town                    david.wardle@uct.ac.za",Classical Association of SA                                       Department of Ancient Language                                            University of Stellenbosch                                           PrivateBag X                                                    Matieland 7602                                                          Tel:021 808 3137                                                      E-mail:jct@akad.sun.ac.za,Reviewed 2010,ISI Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acta Germanica, German Studies in Africa",http://journals.sabinet.co.za/ej/ejour_german.html,0065-1273,,Annually,"Prof CH von Maltzan, Steelenbosch University, Private Bag X1, 7602. Email: vmaltzan@sun.ac.za","Sun Media Bloemfotein, Private Bag X 01, Brandhof 9324",Added in 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Commercii,,1680-7537,,Annually ,Dr Geoff Goldman                                                          ggoldman@uj.ac.za,The Department of Business                                                         University of Johannesburg                                                                   PO Box 524                                                                                           Auckland Park                                                                  2006       ,Reviewed in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Criminologica: Southern African Journal of Criminology,,1012-8093,,Triannually,"Prof. Anthony Minnaar 
Fax: 012-429 6609  Fax2email: 086 5190625  e-mail: aminnaar@unisa.ac.za



                                    ","Criminological Society of South Africa,               ",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Juridica,,0065-1346,,Annually,Jan Glazewski ,"Faculty of Law, UCT                               Juta&Company                                                       P.O. Box 14363                                                       Cape Town, 8000",Reviewed 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Structilia,Yes             URL: http://www.ufs.ac.za/templates/journals.aspx?journal=12,1023-0564,,Biannually,Professor JJP Verster (UFS)   Email:versterj.sci@ufs.ac.za,"The  Physical Development Sciences                                                                     University of the Free State                                         PO Box 339                                               Bloemfontein, 9300                                                    Tel:  051 401 3546                                                     Fax: 051 401 3324         ",Reviewed 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acta Theologica ,"Yes URL: http://www.ufs.ac.za/templates/journals.aspx?journal=5
URL: http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1015-8758&lng=en&nrm=iso",1015-8758,,Biannually,"Dr L Hoffman      hoffmanl@ufs.ac.za              Prof HC van Zyl                                                      Faculty of Theology
PO Box 339, Bloemfontein,9300","Sun Media Bloemfontein  Tel: + 27 51 430 0459
Fax: +27 86 545 4491
E-mail: sunmedia@sunbloem.co.za
Physical address:
59 Brill Street
Westdene
BLOEMFONTEIN",Reviewed 2010,ISI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administratio Publica,,1015-4833,,Biannually,"Prof Natasja Holtzhausen
Chief Editor: Administratio Publica
Unisa: Department of Public Administration and Management
Theo Van Wijk Building Floor 4 Room 37
PO Box 239
Unisa 0003
Email: HOLTZN@unisa.ac.za
Cell: 0829082598
",,Reviewed 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Education Review (Educare),,1814-6627,1753-5921,Triannually,"Prof Kuzvnetsa P Dzvimbo UNISA   dzvimkp@unisa.ac.za

",co-published by: Unisa Press & Routledge,Reviwed 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
